brand,model,discipline,price_eur,frame_material,tire_clearance_mm,groupset,weight_kg,url,image_url,description
Canyon,Endurace AllRoad,road,1049,aluminum,,,10.72,https://www.canyon.com/fi-fi/maantiepyoeraet/mukavuusmaantiepyora/endurace/allroad/endurace-allroad/4164.html?dwvar_4164_pv_rahmenfarbe=R138_P01,"https://dma.canyon.com/image/upload/t_web-p5/w_930,h_487,c_fit/f_auto/q_auto/v1744718989/2025_FULL_endurace_all-road-5_4164_R138_P01_lnnqxl","Canyon - Rento geometria, virtaviivainen mutta kestävä alumiinirunko ja hydraulisten levyjarrujen hallittavuus. Tämä mukava ja nopea alumiininen mukavuusmaantiepyörä on valmis kaikkiin ajoihisi."
Canyon,Endurace CF 6,road,1689,carbon,,Shimano Tiagra,9.7,https://www.canyon.com/fi-fi/maantiepyoeraet/mukavuusmaantiepyora/endurace/cf/endurace-cf-6/4273.html?dwvar_4273_pv_rahmenfarbe=R076_P09,"https://dma.canyon.com/image/upload/t_web-p5/w_930,h_487,c_fit/f_auto/q_auto/v1744104233/2026_FULL_endurace_cf-6_4273_R076_P09_mkth9v","Canyon - Enduracen kuuluisa mukavuus, hiilikuidun lyömätön tyylikkyys ja Shimanon luotettavat komponentit tekevät edullisimmasta hiilikuiturunkoisesta maantiepyörästämme kaikkea muuta kuin alkajatasoisen."
Canyon,Inflite CF SL 5,cyclocross,2119,carbon,,Shimano Grx,8.92,https://www.canyon.com/fi-fi/maantiepyoeraet/cyclocrosspyorat/inflite/cf-sl/inflite-cf-sl-5/3549.html?dwvar_3549_pv_rahmenfarbe=R063_P26,"https://dma.canyon.com/image/upload/t_web-p5/w_930,h_487,c_fit/f_auto/q_auto/v1740751525/B224839B-E9F9-4BE7-B634F502C1A489EF",Canyon - Canyonin hiilikuituisen cyclocross-pyörämalliston edullisinkin malli lainaa runkonsa keskeiset ominaisuudet lippulaiva Inflite CF SL -mallilta ja tuo käyttöösi erinomaiset komponentit lyömättömään hintaan. Paras valinta aloittevalle kunnianhimoiselle kisaajalle.
Canyon,Endurace CF 7 LTD,road,2399,carbon,,Shimano 105,8.72,https://www.canyon.com/fi-fi/maantiepyoeraet/mukavuusmaantiepyora/endurace/cf/endurace-cf-7-ltd/4375.html?dwvar_4375_pv_rahmenfarbe=R076_P09,"https://dma.canyon.com/image/upload/t_web-p5/w_930,h_487,c_fit/f_auto/q_auto/v1751271533/2026_FULL_endurace_cf-7-ltd_4375_R076_P09_pzhh2o","Canyon - <ul class=""simpleBulletList simpleBulletList--noItemSpacing""> <li>Virtaviivainen ja kevyt hiilikuiturunko</li> <li>Mekaaninen Shimano 105 osasarja, 12 vaihdetta</li> <li>DT Swissin alumiinikiekot</li> <li>Ergonominen Canyon-ohjaustanko</li> </ul>"
Canyon,Inflite CF SL 6,cyclocross,2519,carbon,,Shimano Grx,8.62,https://www.canyon.com/fi-fi/maantiepyoeraet/cyclocrosspyorat/inflite/cf-sl/inflite-cf-sl-6/3843.html?dwvar_3843_pv_rahmenfarbe=R063_P26,"https://dma.canyon.com/image/upload/t_web-p5/w_930,h_487,c_fit/f_auto/q_auto/v1740750756/8952E5BD-33C4-4F0B-B024B84ADB536007",Canyon - Canyonin hiilikuituisen cyclocross-pyörämalliston edullisinkin malli lainaa runkonsa keskeiset ominaisuudet lippulaiva Inflite CFR -mallilta ja tuo käyttöösi erinomaiset komponentit lyömättömään hintaan. Paras valinta aloittevalle kunnianhimoiselle kisaajalle.
Canyon,Ultimate CF 7,road,2649,carbon,,Shimano 105,8.68,https://www.canyon.com/fi-fi/maantiepyoeraet/kilpapyorat/ultimate/cf-sl/ultimate-cf-7/4063.html?dwvar_4063_pv_rahmenfarbe=R101_P07,"https://dma.canyon.com/image/upload/t_web-p5/w_930,h_487,c_fit/f_auto/q_auto/v1745479130/2026_FULL_ultimate_cf-sl-7_4063_R101_P07_c0kqpu","Canyon - Keskeiset ominaisuutensa maailmanmestaruuskisoissa ja Grand Toureilla voittaneista pyöristä perivä ja Shimanon ja DT Swissin luotettavilla komponenteilla varustettu Ultimate CF 7 on klassinen hiilikuiturunkoinen maantiekilpapyörä, joka antaa rahoillesi loistavaa vastinetta."
Canyon,Endurace CF 7 AXS,road,2319,carbon,,Sram Rival,8.5,https://www.canyon.com/fi-fi/maantiepyoeraet/mukavuusmaantiepyora/endurace/cf/endurace-cf-7-axs/4364.html?dwvar_4364_pv_rahmenfarbe=R076_P09,"https://dma.canyon.com/image/upload/t_web-p5/w_930,h_487,c_fit/f_auto/q_auto/v1751271638/2026_FULL_endurace_cf-7-axs_4364_R076_P09__mrg9jm","Canyon - <ul class=""simpleBulletList simpleBulletList--noItemSpacing""> <li>Virtaviivainen ja kevyt hiilikuiturunko</li> <li>SRAM Rival AXS -sähkövaihteisto</li> <li>SRAM Rival AXS Power Meter</li> <li>DT Swissin alumiinikiekot</li> </ul>"
Canyon,Endurace CF 7 Di2 G.34,road,2929,carbon,,Shimano 105,8.11,https://www.canyon.com/fi-fi/maantiepyoeraet/mukavuusmaantiepyora/endurace/cf/endurace-cf-7-di2-g.34/4548.html?dwvar_4548_pv_rahmenfarbe=R076_P09,"https://dma.canyon.com/image/upload/t_web-p5/w_930,h_487,c_fit/f_auto/q_auto/v1753777781/2026_FULL_endurace_cf-7-di2-nwmn_4548_R076_P09_mpifgt","Canyon - <ul class=""simpleBulletList simpleBulletList--noItemSpacing""> <li>Virtaviivainen ja kevyt hiilikuiturunko</li> <li>Shimano 105 Di2 -sähkövaihteisto</li> <li>Yksiosainen hiilikuituohjaamo</li> <li>Runsaasti rengastilaa</li> </ul>"
Canyon,Endurace CF 7 Di2,road,3349,carbon,,Shimano 105,8.6,https://www.canyon.com/fi-fi/maantiepyoeraet/mukavuusmaantiepyora/endurace/cf/endurace-cf-7-di2/4275.html?dwvar_4275_pv_rahmenfarbe=R076_P09,"https://dma.canyon.com/image/upload/t_web-p5/w_930,h_487,c_fit/f_auto/q_auto/v1747983638/2026_FULL_endurace_cf-7-di2_4275_R076_P10_scepta","Canyon - Uskomatonta mukavuutta. Huipputarkka sähköinen Shimano 105 Di2 -vaihteisto. Kestävät ja luotettavat osat. Endurace CF 7 Di2 on hiilikuiturunkoinen mukavuusmaantiepyörä, joka on tehty pitkille ja vauhdikkaille ajomatkoille."
Canyon,Endurace CF 8 Di2,road,3499,carbon,,Shimano Ultegra,8.14,https://www.canyon.com/fi-fi/maantiepyoeraet/mukavuusmaantiepyora/endurace/cf/endurace-cf-8-di2/4363.html?dwvar_4363_pv_rahmenfarbe=R076_P09,"https://dma.canyon.com/image/upload/t_web-p5/w_930,h_487,c_fit/f_auto/q_auto/v1751271701/2026_FULL_endurace_cf-8-di2_4363_R076_P09_siylga","Canyon - <ul class=""simpleBulletList simpleBulletList--noItemSpacing""> <li>Virtaviivainen ja kevyt hiilikuiturunko</li> <li>Shimano Ultegra Di2 -sähkövaihteisto</li> <li>DT Swissin kiekot</li> <li>Runsaasti rengastilaa</li> </ul>"
